timestamp_utc,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 00:00:00,1.10409,1.10439,1.10409,1.10432,167,15,0
2024-01-02 01:00:00,1.1043,1.10436,1.1035,1.10359,563,11,0
2024-01-02 02:00:00,1.1036,1.10376,1.10336,1.10376,519,11,0
2024-01-02 03:00:00,1.10376,1.10427,1.10337,1.10344,1057,11,0
2024-01-02 04:00:00,1.10344,1.10354,1.10177,1.10184,878,11,0
2024-01-02 05:00:00,1.10184,1.10243,1.1017,1.1024,685,11,0
2024-01-02 06:00:00,1.1024,1.10244,1.1016,1.10203,548,11,0
2024-01-02 07:00:00,1.10203,1.10331,1.10203,1.10329,855,11,0
2024-01-02 08:00:00,1.10331,1.10347,1.10264,1.1028,826,11,0
2024-01-02 09:00:00,1.10282,1.10374,1.10145,1.10147,1583,11,0
2024-01-02 10:00:00,1.10172,1.10382,1.10172,1.10291,1875,11,0
2024-01-02 11:00:00,1.10287,1.10373,1.10101,1.10147,1648,11,0
2024-01-02 12:00:00,1.10144,1.10164,1.09966,1.10068,1698,11,0
2024-01-02 13:00:00,1.10063,1.10067,1.09659,1.09687,1845,11,0
2024-01-02 14:00:00,1.09688,1.09713,1.09532,1.09533,1565,11,0
2024-01-02 15:00:00,1.09535,1.09644,1.0949,1.09519,1916,11,0
2024-01-02 16:00:00,1.09517,1.09633,1.09444,1.09619,2219,11,0
2024-01-02 17:00:00,1.09626,1.09678,1.09407,1.09432,2355,11,0
2024-01-02 18:00:00,1.09433,1.09611,1.09403,1.09557,1810,11,0
2024-01-02 19:00:00,1.0956,1.0957,1.09454,1.09501,1417,11,0
2024-01-02 20:00:00,1.09501,1.09554,1.09457,1.09461,1225,11,0
2024-01-02 21:00:00,1.09461,1.09496,1.09422,1.09456,924,11,0
2024-01-02 22:00:00,1.09459,1.09505,1.09416,1.09425,1134,11,0
2024-01-02 23:00:00,1.09425,1.09427,1.09379,1.09402,661,11,0
2024-01-03 00:00:00,1.09395,1.09428,1.09375,1.09402,503,15,0
2024-01-03 01:00:00,1.09407,1.09434,1.09403,1.09408,420,11,0
2024-01-03 02:00:00,1.0941,1.095,1.09409,1.09489,561,11,0
2024-01-03 03:00:00,1.09488,1.09543,1.09444,1.09508,1017,11,0
2024-01-03 04:00:00,1.09508,1.09525,1.09481,1.09515,732,11,0
2024-01-03 05:00:00,1.09515,1.09616,1.09481,1.09604,608,11,0
2024-01-03 06:00:00,1.09604,1.09619,1.09583,1.09617,499,11,0
2024-01-03 07:00:00,1.09617,1.09623,1.09508,1.09508,819,11,0
2024-01-03 08:00:00,1.09507,1.09602,1.09506,1.09586,690,11,0
2024-01-03 09:00:00,1.09576,1.09621,1.0951,1.09598,1348,11,0
2024-01-03 10:00:00,1.09596,1.0964,1.09497,1.09521,1863,11,0
2024-01-03 11:00:00,1.09517,1.09558,1.09342,1.09359,1708,11,0
2024-01-03 12:00:00,1.09359,1.09385,1.09256,1.09276,1397,11,0
2024-01-03 13:00:00,1.09273,1.09291,1.09147,1.09187,1666,11,0
2024-01-03 14:00:00,1.0919,1.09317,1.09141,1.09162,1597,11,0
2024-01-03 15:00:00,1.09161,1.09296,1.09095,1.09212,2072,11,0
2024-01-03 16:00:00,1.09212,1.0925799999999999,1.09095,1.09177,2229,11,0
2024-01-03 17:00:00,1.0913,1.0937999999999999,1.08975,1.09041,2663,11,0
2024-01-03 18:00:00,1.09042,1.09177,1.09022,1.09076,2131,11,0
2024-01-03 19:00:00,1.09076,1.09097,1.09028,1.09061,1584,11,0
2024-01-03 20:00:00,1.09062,1.09144,1.09022,1.09053,1394,11,0
2024-01-03 21:00:00,1.09053,1.09252,1.08925,1.09167,2454,13,0
2024-01-03 22:00:00,1.09168,1.09227,1.09143,1.09205,1785,11,0
2024-01-03 23:00:00,1.09204,1.09229,1.0918,1.09214,732,11,0
2024-01-04 00:00:00,1.09077,1.09217,1.09077,1.09202,495,14,0
2024-01-04 01:00:00,1.09213,1.09269,1.09213,1.09253,554,11,0
2024-01-04 02:00:00,1.09253,1.0926,1.09189,1.09219,752,11,0
2024-01-04 03:00:00,1.0922,1.09234,1.09157,1.09172,964,11,0
2024-01-04 04:00:00,1.09173,1.09194,1.09155,1.09187,678,11,0
2024-01-04 05:00:00,1.09188,1.09301,1.09187,1.09256,790,11,0
2024-01-04 06:00:00,1.09256,1.09281,1.09241,1.09255,680,11,0
2024-01-04 07:00:00,1.09254,1.09263,1.09214,1.0926,1009,11,0
2024-01-04 08:00:00,1.0926,1.09339,1.09202,1.09318,1050,12,0
2024-01-04 09:00:00,1.0931899999999999,1.0943,1.0929,1.0937000000000001,1588,11,0
2024-01-04 10:00:00,1.09369,1.09551,1.0934,1.09526,1973,11,0
2024-01-04 11:00:00,1.09523,1.09686,1.09447,1.09669,1925,11,0
2024-01-04 12:00:00,1.09672,1.09717,1.09539,1.09549,1624,11,0
2024-01-04 13:00:00,1.09551,1.09573,1.09455,1.09473,1311,11,0
2024-01-04 14:00:00,1.09472,1.0955300000000001,1.09463,1.09519,1351,11,0
2024-01-04 15:00:00,1.09517,1.09547,1.09321,1.09465,2224,11,0
2024-01-04 16:00:00,1.09465,1.09499,1.09376,1.09449,2218,11,0
2024-01-04 17:00:00,1.09448,1.09646,1.09448,1.09547,2253,11,0
2024-01-04 18:00:00,1.0955,1.09634,1.09537,1.09554,1858,11,0
2024-01-04 19:00:00,1.09556,1.09592,1.09411,1.095,1439,11,0
