timestamp_utc,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 00:00:00,1.10409,1.10426,1.10409,1.10426,29,41,0
2024-01-02 00:15:00,1.10421,1.10433,1.10409,1.10426,34,29,0
2024-01-02 00:30:00,1.10426,1.10432,1.10418,1.10428,40,15,0
2024-01-02 00:45:00,1.1042,1.10439,1.10411,1.10432,64,21,0
2024-01-02 01:00:00,1.1043,1.10436,1.10378,1.10378,145,11,0
2024-01-02 01:15:00,1.10379,1.10379,1.10365,1.10369,99,11,0
2024-01-02 01:30:00,1.10369,1.10377,1.10356,1.10361,120,11,0
2024-01-02 01:45:00,1.10361,1.10367,1.1035,1.10359,199,11,0
2024-01-02 02:00:00,1.1036,1.10374,1.1036,1.10368,160,11,0
2024-01-02 02:15:00,1.10368,1.10369,1.10336,1.1034,119,11,0
2024-01-02 02:30:00,1.1034,1.10353,1.1034,1.10352,103,11,0
2024-01-02 02:45:00,1.10352,1.10376,1.10352,1.10376,137,11,0
2024-01-02 03:00:00,1.10376,1.10427,1.10372,1.10382,292,11,0
2024-01-02 03:15:00,1.10383,1.10426,1.10382,1.1039,260,11,0
2024-01-02 03:30:00,1.10391,1.10394,1.10364,1.10378,256,11,0
2024-01-02 03:45:00,1.10382,1.10395,1.10337,1.10344,249,11,0
2024-01-02 04:00:00,1.10344,1.10354,1.1031,1.10314,236,11,0
2024-01-02 04:15:00,1.10314,1.10315,1.10255,1.10257,176,11,0
2024-01-02 04:30:00,1.10257,1.10263,1.10215,1.1023,226,11,0
2024-01-02 04:45:00,1.1023,1.10235,1.10177,1.10184,240,11,0
2024-01-02 05:00:00,1.10184,1.10232,1.1017,1.10217,238,11,0
2024-01-02 05:15:00,1.10218,1.10234,1.10201,1.10209,175,11,0
2024-01-02 05:30:00,1.10209,1.10226,1.10204,1.10224,161,11,0
2024-01-02 05:45:00,1.10224,1.10243,1.10224,1.1024,111,11,0
2024-01-02 06:00:00,1.1024,1.10244,1.10203,1.10214,119,11,0
2024-01-02 06:15:00,1.10217,1.1022,1.10188,1.10189,120,11,0
2024-01-02 06:30:00,1.1019,1.10199,1.10168,1.10171,153,11,0
2024-01-02 06:45:00,1.10172,1.10204,1.1016,1.10203,156,11,0
2024-01-02 07:00:00,1.10203,1.10246,1.10203,1.10244,231,11,0
2024-01-02 07:15:00,1.10245,1.10277,1.10241,1.1026,207,11,0
2024-01-02 07:30:00,1.10259,1.10298,1.10259,1.10295,182,11,0
2024-01-02 07:45:00,1.10295,1.10331,1.10288,1.10329,235,11,0
2024-01-02 08:00:00,1.10331,1.10337,1.10312,1.10318,206,11,0
2024-01-02 08:15:00,1.10316,1.10333,1.10294,1.10315,212,11,0
2024-01-02 08:30:00,1.10314,1.10344,1.10304,1.10331,212,11,0
2024-01-02 08:45:00,1.10331,1.10347,1.10264,1.1028,196,11,0
2024-01-02 09:00:00,1.10282,1.10304,1.1024,1.10278,368,11,0
2024-01-02 09:15:00,1.10277,1.1037,1.10272,1.10365,342,11,0
2024-01-02 09:30:00,1.10365,1.10374,1.10294,1.10295,361,11,0
2024-01-02 09:45:00,1.10294,1.1031,1.10145,1.10147,512,11,0
2024-01-02 10:00:00,1.10172,1.10382,1.10172,1.10322,572,11,0
2024-01-02 10:15:00,1.10316,1.10335,1.10273,1.10282,456,11,0
2024-01-02 10:30:00,1.10281,1.10324,1.10277,1.10286,413,11,0
2024-01-02 10:45:00,1.10289,1.10323,1.10246,1.10291,434,11,0
2024-01-02 11:00:00,1.10287,1.10359,1.10284,1.10346,439,11,0
2024-01-02 11:15:00,1.10344,1.10373,1.10327,1.10328,372,11,0
2024-01-02 11:30:00,1.10328,1.10347,1.10185,1.1019,393,11,0
2024-01-02 11:45:00,1.10186,1.10192,1.10101,1.10147,444,11,0
2024-01-02 12:00:00,1.10144,1.10164,1.09966,1.09995,437,11,0
2024-01-02 12:15:00,1.09998,1.10052,1.09991,1.1003,420,11,0
2024-01-02 12:30:00,1.10032,1.10096,1.10023,1.10093,400,11,0
2024-01-02 12:45:00,1.10094,1.10106,1.10023,1.10068,441,11,0
2024-01-02 13:00:00,1.10063,1.10067,1.09887,1.0989,492,11,0
2024-01-02 13:15:00,1.09889,1.09914,1.09779,1.09798,505,11,0
2024-01-02 13:30:00,1.09786,1.09786,1.097,1.09705,466,11,0
2024-01-02 13:45:00,1.097,1.09722,1.09659,1.09687,382,11,0
2024-01-02 14:00:00,1.09688,1.09713,1.09673,1.09688,363,11,0
2024-01-02 14:15:00,1.09688,1.09688,1.09607,1.09649,378,11,0
2024-01-02 14:30:00,1.0965,1.09676,1.09574,1.09603,397,11,0
2024-01-02 14:45:00,1.09603,1.09629,1.09532,1.09533,427,11,0
