policy,trade_count,gross_R,friction_R,net_R,average_R,median_R,win_rate,loss_rate,profit_factor,max_drawdown_R,average_hold_minutes,median_hold_minutes,position_hours,R_per_position_hour,mean_MFE_R,mean_MAE_R,duration_exit_count,SL_exit_count,TP_exit_count,original_exit_count
CONTROL,31,0.009297474401486275,5.886441025855691,-5.877143551454205,-0.18958527585336146,-0.167393130678874,0.41935483870967744,0.5806451612903226,0.6094569223545339,7.206874526534028,82.0,55.0,42.36666666666667,-0.1387209335512401,0.7394763400943172,-0.6373838183584861,0,11,0,31
30,31,-6.509457518120412,5.886441025855691,-12.395898543976104,-0.3998676949669711,-0.3089619483988255,0.16129032258064516,0.8387096774193549,0.10517546329158456,12.66926126210847,25.64516129032258,30.0,13.25,-0.9355395127529135,0.3306270363019616,-0.5504475678749925,22,5,0,9
45,31,-6.084735577641973,5.886441025855691,-11.971176603497664,-0.3861669872096021,-0.2494738643438489,0.2903225806451613,0.7096774193548387,0.202626094314435,12.137037895090744,35.87096774193548,45.0,18.533333333333335,-0.6459267951527516,0.400111061833653,-0.5713806541505316,19,6,0,12
60,31,-6.1162605574132325,5.886441025855691,-12.002701583268923,-0.387183922040933,-0.28703181723072263,0.3548387096774194,0.6451612903225806,0.25381028581715365,12.168562874862005,43.87096774193548,55.0,22.666666666666668,-0.5295309522030407,0.47656775313968075,-0.5856122299593347,15,10,0,16
90,31,-7.8714523671266985,5.886441025855691,-13.75789339298239,-0.4438030126768513,-0.47016228280217875,0.25806451612903225,0.7419354838709677,0.2549138106305591,14.215741498885855,57.225806451612904,55.0,29.566666666666666,-0.4653177021301823,0.5872123233857526,-0.6190009581126407,12,11,0,19
120,31,-3.4158671070327875,5.886441025855691,-9.302308132888479,-0.30007445589962833,-0.3592115740820133,0.3548387096774194,0.6451612903225806,0.46706218852244236,10.817320236206312,67.74193548387096,55.0,35.0,-0.2657802323682423,0.6874088289332588,-0.6282865858177517,8,11,0,23
