policy,factor,value,trade_count,gross_R,friction_R,net_R,average_R,median_R,win_rate,loss_rate,profit_factor,max_drawdown_R,average_hold_minutes,median_hold_minutes,position_hours,R_per_position_hour,mean_MFE_R,mean_MAE_R,duration_exit_count,SL_exit_count,TP_exit_count,original_exit_count,evidence_class
CONTROL,trend_regime,RANGE,12,-3.835769429978377,2.4439814832166404,-6.279750913195017,-0.5233125760995848,-0.29598657797154165,0.3333333333333333,0.6666666666666666,0.09761004427536032,6.6130053354669736,80.58333333333333,49.0,16.116666666666667,-0.38964328313516133,0.537078948950952,-0.5960626202079787,0,5,0,12,WEAK_FORMAL_ATTRIBUTION
CONTROL,trend_regime,TREND,19,3.845066904379863,3.442459542639051,0.4026073617408124,0.021189861144253284,-0.11364693555701494,0.47368421052631576,0.5263157894736842,1.049768376158338,5.132792967140204,82.89473684210526,71.0,26.25,0.015337423304411901,0.8673062713427585,-0.6634814171903854,0,6,0,19,WEAK_FORMAL_ATTRIBUTION
CONTROL,volatility_regime,HIGH,2,-0.8701177879345617,0.5076043098176675,-1.377722097752229,-0.6888610488761145,-0.6888610488761145,0.0,1.0,0.0,1.377722097752229,15.0,15.0,0.5,-2.755444195504458,0.11364693555716837,-0.38964663619595435,0,1,0,2,DESCRIPTIVE_ONLY
CONTROL,volatility_regime,LOW,1,-0.11967755575395789,0.12822595259349975,-0.24790350834745764,-0.24790350834745764,-0.24790350834745764,0.0,1.0,0.0,0.24790350834745764,44.0,44.0,0.7333333333333333,-0.33805023865562406,0.14532274627263603,-0.5300006040531878,0,0,0,1,DESCRIPTIVE_ONLY
CONTROL,volatility_regime,NORMAL,28,0.9990928180900058,5.2506107634445245,-4.251517945354518,-0.15183992661980422,-0.088914404268383,0.4642857142857143,0.5357142857142857,0.683266611484119,6.949776217754642,88.14285714285714,72.5,41.13333333333333,-0.10335943141056365,0.8053982116263165,-0.6589144461667134,0,10,0,28,WEAK_FORMAL_ATTRIBUTION
CONTROL,session,ASIAN_LONDON,15,-6.948901774201092,3.125486784058204,-10.074388558259296,-0.671625903883953,-1.1368403758384227,0.2,0.8,0.07627732660089492,10.108043359493886,89.86666666666666,49.0,22.466666666666665,-0.44841492099076985,0.4630025992285856,-0.7377496522599531,0,8,0,15,WEAK_FORMAL_ATTRIBUTION
CONTROL,session,LONDON_NEWYORK,16,6.958199248602578,2.7609542417974873,4.197245006805091,0.2623278129253182,0.30590442163533416,0.625,0.375,2.013251600590577,2.6030478034396625,74.625,81.5,19.9,0.21091683451281867,0.9986704721559406,-0.5432908490758608,0,3,0,16,WEAK_FORMAL_ATTRIBUTION
CONTROL,higher_timeframe_bias,BEARISH,31,0.009297474401486275,5.886441025855691,-5.877143551454205,-0.18958527585336146,-0.167393130678874,0.41935483870967744,0.5806451612903226,0.6094569223545339,7.206874526534028,82.0,55.0,42.36666666666667,-0.1387209335512401,0.7394763400943172,-0.6373838183584861,0,11,0,31,WEAK_FORMAL_ATTRIBUTION
30,trend_regime,RANGE,12,-2.4310247144032298,2.4439814832166404,-4.875006197619871,-0.40625051646832255,-0.4734253257143993,0.16666666666666666,0.8333333333333334,0.20106320437704484,5.315762046431112,25.166666666666668,30.0,5.033333333333333,-0.968544277672822,0.3836897512354482,-0.4777837170329064,10,2,0,2,WEAK_FORMAL_ATTRIBUTION
30,trend_regime,TREND,19,-4.078432803717182,3.442459542639051,-7.520892346356233,-0.39583643928190704,-0.2593935795331202,0.15789473684210525,0.8421052631578947,0.029689312712438933,7.5208923463562325,25.94736842105263,30.0,8.216666666666667,-0.9153215837350386,0.29711374265975954,-0.5963405263015733,12,3,0,7,WEAK_FORMAL_ATTRIBUTION
30,volatility_regime,HIGH,2,-0.8701177879345617,0.5076043098176675,-1.377722097752229,-0.6888610488761145,-0.6888610488761145,0.0,1.0,0.0,1.377722097752229,15.0,15.0,0.5,-2.755444195504458,0.11364693555716837,-0.38964663619595435,0,1,0,2,DESCRIPTIVE_ONLY
30,volatility_regime,LOW,1,-0.06838717471660159,0.12822595259349975,-0.19661312731010133,-0.19661312731010133,-0.19661312731010133,0.0,1.0,0.0,0.19661312731010133,30.0,30.0,0.5,-0.39322625462020266,0.12822595259358055,-0.5300006040531878,1,0,0,0,DESCRIPTIVE_ONLY
30,volatility_regime,NORMAL,28,-5.5709525554692485,5.2506107634445245,-10.821563318913773,-0.3864844042469205,-0.3723382509284314,0.17857142857142858,0.8214285714285714,0.11866088972891065,11.094926037046141,26.25,30.0,12.25,-0.8833929239929611,0.35335422505903186,-0.5626635974171311,21,4,0,7,WEAK_FORMAL_ATTRIBUTION
30,session,ASIAN_LONDON,15,-6.343514678827304,3.125486784058204,-9.469001462885508,-0.6312667641923672,-0.5070789370128567,0.06666666666666667,0.9333333333333333,0.003541620395305675,9.502656264120095,26.066666666666666,30.0,6.516666666666667,-1.4530437027445793,0.3124241999921944,-0.5997213768202936,11,3,0,4,WEAK_FORMAL_ATTRIBUTION
30,session,LONDON_NEWYORK,16,-0.16594283929310827,2.7609542417974873,-2.9268970810905954,-0.18293106756816221,-0.14052003311794448,0.25,0.75,0.3271849808638261,3.2002597992229633,25.25,30.0,6.733333333333333,-0.43468768531048446,0.3476921953423684,-0.5042533719887727,11,2,0,5,WEAK_FORMAL_ATTRIBUTION
30,higher_timeframe_bias,BEARISH,31,-6.509457518120412,5.886441025855691,-12.395898543976104,-0.3998676949669711,-0.3089619483988255,0.16129032258064516,0.8387096774193549,0.10517546329158456,12.66926126210847,25.64516129032258,30.0,13.25,-0.9355395127529135,0.3306270363019616,-0.5504475678749925,22,5,0,9,WEAK_FORMAL_ATTRIBUTION
45,trend_regime,RANGE,12,-4.087812756058311,2.4439814832166404,-6.531794239274951,-0.5443161866062459,-0.5366389838162028,0.25,0.75,0.10590001085301824,6.865048661546908,36.583333333333336,45.0,7.316666666666666,-0.8927281420421345,0.43936194209501567,-0.531860856578049,7,3,0,5,WEAK_FORMAL_ATTRIBUTION
45,trend_regime,TREND,19,-1.9969228215836619,3.442459542639051,-5.439382364222713,-0.2862832823275112,-0.2098219096189879,0.3157894736842105,0.6842105263157895,0.2943027655073122,5.967260540032196,35.421052631578945,45.0,11.216666666666667,-0.4849375064685925,0.37532103219489765,-0.5963405263015733,12,3,0,7,WEAK_FORMAL_ATTRIBUTION
45,volatility_regime,HIGH,2,-0.8701177879345617,0.5076043098176675,-1.377722097752229,-0.6888610488761145,-0.6888610488761145,0.0,1.0,0.0,1.377722097752229,15.0,15.0,0.5,-2.755444195504458,0.11364693555716837,-0.38964663619595435,0,1,0,2,DESCRIPTIVE_ONLY
45,volatility_regime,LOW,1,-0.11967755575395789,0.12822595259349975,-0.24790350834745764,-0.24790350834745764,-0.24790350834745764,0.0,1.0,0.0,0.24790350834745764,44.0,44.0,0.7333333333333333,-0.33805023865562406,0.14532274627263603,-0.5300006040531878,0,0,0,1,DESCRIPTIVE_ONLY
